date,ticker,signal_et,direction,score,net_bps,period
2026-07-07,QQQ,2026-07-07 09:53:00,-1,3,8.406413,JUL
2026-07-13,SPY,2026-07-13 09:51:00,-1,3,-8.648848,JUL
2026-07-16,SPY,2026-07-16 09:48:00,-1,3,-24.572161,JUL
2026-07-17,USO,2026-07-17 09:51:00,1,3,-10.504779,JUL
2026-07-17,QQQ,2026-07-17 10:00:00,1,3,35.274402,JUL
2026-07-22,QQQ,2026-07-22 09:45:00,1,3,22.349845,JUL
2026-07-22,SPY,2026-07-22 09:45:00,1,3,10.166751,JUL
2026-07-22,USO,2026-07-22 09:57:00,1,3,3.664225,JUL
2026-07-23,USO,2026-07-23 09:47:00,1,3,2.038051,JUL
2026-07-24,GLD,2026-07-24 09:48:00,1,3,10.619482,JUL
2026-07-27,SPY,2026-07-27 09:46:00,-1,3,23.023880,JUL
2026-07-27,GLD,2026-07-27 09:56:00,-1,3,-1.197539,JUL
2026-07-27,QQQ,2026-07-27 09:56:00,-1,3,52.275861,JUL
2026-07-27,USO,2026-07-27 10:11:00,-1,3,-27.957681,JUL
2026-07-28,GLD,2026-07-28 10:21:00,-1,4,-23.729683,JUL
2026-07-29,SPY,2026-07-29 09:50:00,-1,3,3.824348,JUL
2026-07-30,QQQ,2026-07-30 09:45:00,1,3,49.760750,JUL
2026-07-30,SPY,2026-07-30 09:45:00,1,3,23.174559,JUL
2026-08-04,USO,2026-08-04 09:55:00,-1,3,3.604415,AUG
2026-08-05,USO,2026-08-05 10:05:00,-1,4,-9.858889,AUG
2026-08-10,USO,2026-08-10 09:45:00,1,3,47.678836,AUG
2026-08-10,GLD,2026-08-10 09:46:00,-1,4,4.448850,AUG
2026-08-11,USO,2026-08-11 09:46:00,-1,3,-34.923793,AUG
2026-08-13,GLD,2026-08-13 09:51:00,-1,3,-11.226933,AUG
2026-08-13,USO,2026-08-13 09:54:00,-1,3,60.898153,AUG
2026-08-17,GLD,2026-08-17 09:49:00,1,3,28.758545,AUG
2026-08-18,SPY,2026-08-18 10:11:00,-1,3,-16.976884,AUG
2026-08-19,QQQ,2026-08-19 09:48:00,-1,4,17.133009,AUG
2026-08-19,SPY,2026-08-19 09:48:00,-1,4,-11.038417,AUG
2026-08-19,GLD,2026-08-19 10:07:00,1,4,10.443122,AUG
2026-08-20,SPY,2026-08-20 10:15:00,-1,3,-10.228088,AUG
2026-08-24,QQQ,2026-08-24 09:45:00,-1,3,-18.926009,AUG
2026-08-25,GLD,2026-08-25 09:47:00,-1,4,-25.200208,AUG
2026-08-27,SPY,2026-08-27 09:45:00,1,4,-15.255188,AUG
2026-09-04,GLD,2026-09-04 09:46:00,1,3,-23.672208,SEP
2026-09-04,USO,2026-09-04 09:54:00,-1,3,-66.532484,SEP
2026-09-09,SPY,2026-09-09 10:18:00,-1,3,-8.159411,SEP
2026-09-10,QQQ,2026-09-10 10:24:00,1,4,8.957016,SEP
2026-09-11,SPY,2026-09-11 09:59:00,1,4,-20.399864,SEP
2026-09-14,QQQ,2026-09-14 09:45:00,1,3,14.882306,SEP
2026-09-16,USO,2026-09-16 09:53:00,-1,4,-41.195853,SEP
