date,ticker,signal_et,direction,vwap_distance_bps,signal_range_bps,rel_vol20,net_bps,period
2026-07-13,QQQ,2026-07-13 09:51:00,1,47.5040,18.5094,1.1674,32.350770,JUL
2026-07-14,USO,2026-07-14 10:07:00,1,63.4286,29.2080,2.4827,52.731027,JUL
2026-07-15,USO,2026-07-15 10:25:00,1,57.9511,20.0133,1.7378,-14.919358,JUL
2026-07-23,QQQ,2026-07-23 10:33:00,1,37.1044,17.6060,2.2823,-3.443022,JUL
2026-07-24,QQQ,2026-07-24 09:52:00,1,48.6141,15.1589,1.5090,-2.437120,JUL
2026-07-24,GLD,2026-07-24 09:58:00,-1,28.4315,17.7238,3.5817,13.816846,JUL
2026-07-24,USO,2026-07-24 10:26:00,1,72.9653,52.2555,2.3072,40.662744,JUL
2026-07-27,USO,2026-07-27 10:11:00,1,61.6904,33.8263,1.2652,23.171085,JUL
2026-07-28,QQQ,2026-07-28 09:55:00,1,50.8864,12.9942,1.0847,30.407407,JUL
2026-07-29,QQQ,2026-07-29 09:52:00,1,52.1433,15.3532,1.4821,10.588923,JUL
2026-07-29,SPY,2026-07-29 09:52:00,1,24.4927,6.4410,1.3418,0.982808,JUL
2026-07-30,QQQ,2026-07-30 09:50:00,-1,63.7545,24.5997,1.3938,-21.402919,JUL
2026-07-30,SPY,2026-07-30 09:50:00,-1,28.3258,16.8234,1.3205,-9.993280,JUL
2026-07-30,GLD,2026-07-30 09:59:00,-1,44.9271,12.6088,2.5095,29.549363,JUL
2026-08-04,USO,2026-08-04 10:30:00,-1,79.8627,49.6788,1.7508,12.929193,AUG
2026-08-18,GLD,2026-08-18 10:39:00,1,25.4675,13.1880,4.8100,6.209364,AUG
2026-08-19,QQQ,2026-08-19 09:50:00,1,44.9491,12.5960,1.5484,-2.139878,AUG
2026-08-20,SPY,2026-08-20 10:16:00,1,15.0692,4.3111,1.7787,7.594466,AUG
2026-09-01,SPY,2026-09-01 10:15:00,-1,16.0546,5.3742,1.6734,-10.843529,SEP
2026-09-02,GLD,2026-09-02 09:59:00,-1,34.0013,13.3179,2.3486,-14.680259,SEP
2026-09-03,SPY,2026-09-03 10:07:00,1,16.5487,7.2289,1.4168,6.856934,SEP
2026-09-08,SPY,2026-09-08 09:50:00,1,17.5738,7.4429,1.6767,0.871294,SEP
2026-09-10,QQQ,2026-09-10 10:24:00,-1,31.2597,29.0247,3.6663,1.516372,SEP
2026-09-11,USO,2026-09-11 10:12:00,-1,69.7125,26.0332,1.7372,1.570733,SEP
2026-09-15,USO,2026-09-15 09:53:00,1,48.0178,20.2161,1.3483,46.010107,SEP
