event_type,date,release_time_et,official_source
employment_situation,2018-01-05,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-01-12,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-02-02,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-02-14,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-03-09,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-03-13,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-04-06,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-04-11,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-05-04,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-05-10,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-06-01,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-06-12,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-07-06,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-07-12,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-08-03,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-08-10,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-09-07,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-09-13,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-10-05,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-10-11,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-11-02,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-11-14,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2018-12-07,08:30,https://www.bls.gov/schedule/2018/home.htm
cpi,2018-12-12,08:30,https://www.bls.gov/schedule/2018/home.htm
employment_situation,2019-01-04,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-01-11,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-02-01,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-02-13,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-03-08,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-03-12,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-04-05,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-04-10,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-05-03,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-05-10,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-06-07,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-06-12,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-07-05,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-07-11,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-08-02,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-08-13,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-09-06,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-09-12,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-10-04,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-10-10,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-11-01,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-11-13,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2019-12-06,08:30,https://www.bls.gov/schedule/2019/home.htm
cpi,2019-12-11,08:30,https://www.bls.gov/schedule/2019/home.htm
employment_situation,2020-01-10,08:30,https://www.bls.gov/schedule/2020/home.htm
