year,decision_date,official_source
2018,2018-01-31,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-03-21,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-05-02,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-06-13,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-08-01,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-09-26,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-11-08,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2018,2018-12-19,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
2019,2019-01-30,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-03-20,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-05-01,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-06-19,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-07-31,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-09-18,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-10-30,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2019,2019-12-11,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
2020,2020-01-29,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020,2020-04-29,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020,2020-06-10,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020,2020-07-29,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020,2020-09-16,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020,2020-11-05,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2020,2020-12-16,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
2021,2021-01-27,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-03-17,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-04-28,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-06-16,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-07-28,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-09-22,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-11-03,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2021,2021-12-15,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-01-26,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-03-16,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-05-04,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-06-15,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-07-27,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-09-21,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-11-02,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
2022,2022-12-14,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
