event_type,date,release_time_et,official_source
fomc,2018-01-31,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-03-21,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-05-02,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-06-13,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-08-01,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-09-26,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-11-08,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2018-12-19,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2018.htm
fomc,2019-01-30,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-03-20,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-05-01,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-06-19,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-07-31,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-09-18,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-10-30,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2019-12-11,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2019.htm
fomc,2020-01-29,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2020-04-29,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2020-06-10,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2020-07-29,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2020-09-16,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2020-11-05,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2020-12-16,14:00,https://www.federalreserve.gov/monetarypolicy/fomchistorical2020.htm
fomc,2021-01-27,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-03-17,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-04-28,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-06-16,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-07-28,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-09-22,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-11-03,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2021-12-15,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-01-26,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-03-16,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-05-04,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-06-15,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-07-27,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-09-21,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-11-02,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
fomc,2022-12-14,14:00,https://www.federalreserve.gov/monetarypolicy/fomccalendars.htm
