event_id,event_type,date_local,time_local,timezone,official_source
2021-01-08-employment,employment,2021-01-08,08:30,America/New_York,BLS_2021
2021-01-13-cpi,cpi,2021-01-13,08:30,America/New_York,BLS_2021
2021-01-27-fomc,fomc,2021-01-27,14:00,America/New_York,FED_FOMC
2021-02-05-employment,employment,2021-02-05,08:30,America/New_York,BLS_2021
2021-02-10-cpi,cpi,2021-02-10,08:30,America/New_York,BLS_2021
2021-03-05-employment,employment,2021-03-05,08:30,America/New_York,BLS_2021
2021-03-10-cpi,cpi,2021-03-10,08:30,America/New_York,BLS_2021
2021-03-17-fomc,fomc,2021-03-17,14:00,America/New_York,FED_FOMC
2021-04-02-employment,employment,2021-04-02,08:30,America/New_York,BLS_2021
2021-04-13-cpi,cpi,2021-04-13,08:30,America/New_York,BLS_2021
2021-04-28-fomc,fomc,2021-04-28,14:00,America/New_York,FED_FOMC
2021-05-07-employment,employment,2021-05-07,08:30,America/New_York,BLS_2021
2021-05-12-cpi,cpi,2021-05-12,08:30,America/New_York,BLS_2021
2021-06-04-employment,employment,2021-06-04,08:30,America/New_York,BLS_2021
2021-06-10-cpi,cpi,2021-06-10,08:30,America/New_York,BLS_2021
2021-06-16-fomc,fomc,2021-06-16,14:00,America/New_York,FED_FOMC
2021-07-02-employment,employment,2021-07-02,08:30,America/New_York,BLS_2021
2021-07-13-cpi,cpi,2021-07-13,08:30,America/New_York,BLS_2021
2021-07-28-fomc,fomc,2021-07-28,14:00,America/New_York,FED_FOMC
2021-08-06-employment,employment,2021-08-06,08:30,America/New_York,BLS_2021
2021-08-11-cpi,cpi,2021-08-11,08:30,America/New_York,BLS_2021
2021-09-03-employment,employment,2021-09-03,08:30,America/New_York,BLS_2021
2021-09-14-cpi,cpi,2021-09-14,08:30,America/New_York,BLS_2021
2021-09-22-fomc,fomc,2021-09-22,14:00,America/New_York,FED_FOMC
2021-10-08-employment,employment,2021-10-08,08:30,America/New_York,BLS_2021
2021-10-13-cpi,cpi,2021-10-13,08:30,America/New_York,BLS_2021
2021-11-03-fomc,fomc,2021-11-03,14:00,America/New_York,FED_FOMC
2021-11-05-employment,employment,2021-11-05,08:30,America/New_York,BLS_2021
2021-11-10-cpi,cpi,2021-11-10,08:30,America/New_York,BLS_2021
2021-12-03-employment,employment,2021-12-03,08:30,America/New_York,BLS_2021
2021-12-10-cpi,cpi,2021-12-10,08:30,America/New_York,BLS_2021
2021-12-15-fomc,fomc,2021-12-15,14:00,America/New_York,FED_FOMC
2022-01-07-employment,employment,2022-01-07,08:30,America/New_York,BLS_2022
2022-01-12-cpi,cpi,2022-01-12,08:30,America/New_York,BLS_2022
2022-01-26-fomc,fomc,2022-01-26,14:00,America/New_York,FED_FOMC
2022-02-04-employment,employment,2022-02-04,08:30,America/New_York,BLS_2022
2022-02-10-cpi,cpi,2022-02-10,08:30,America/New_York,BLS_2022
2022-03-04-employment,employment,2022-03-04,08:30,America/New_York,BLS_2022
2022-03-10-cpi,cpi,2022-03-10,08:30,America/New_York,BLS_2022
2022-03-16-fomc,fomc,2022-03-16,14:00,America/New_York,FED_FOMC
2022-04-01-employment,employment,2022-04-01,08:30,America/New_York,BLS_2022
2022-04-12-cpi,cpi,2022-04-12,08:30,America/New_York,BLS_2022
2022-05-04-fomc,fomc,2022-05-04,14:00,America/New_York,FED_FOMC
2022-05-06-employment,employment,2022-05-06,08:30,America/New_York,BLS_2022
2022-05-11-cpi,cpi,2022-05-11,08:30,America/New_York,BLS_2022
2022-06-03-employment,employment,2022-06-03,08:30,America/New_York,BLS_2022
2022-06-10-cpi,cpi,2022-06-10,08:30,America/New_York,BLS_2022
2022-06-15-fomc,fomc,2022-06-15,14:00,America/New_York,FED_FOMC
2022-07-08-employment,employment,2022-07-08,08:30,America/New_York,BLS_2022
2022-07-13-cpi,cpi,2022-07-13,08:30,America/New_York,BLS_2022
2022-07-27-fomc,fomc,2022-07-27,14:00,America/New_York,FED_FOMC
2022-08-05-employment,employment,2022-08-05,08:30,America/New_York,BLS_2022
2022-08-10-cpi,cpi,2022-08-10,08:30,America/New_York,BLS_2022
2022-09-02-employment,employment,2022-09-02,08:30,America/New_York,BLS_2022
2022-09-13-cpi,cpi,2022-09-13,08:30,America/New_York,BLS_2022
2022-09-21-fomc,fomc,2022-09-21,14:00,America/New_York,FED_FOMC
2022-10-07-employment,employment,2022-10-07,08:30,America/New_York,BLS_2022
2022-10-13-cpi,cpi,2022-10-13,08:30,America/New_York,BLS_2022
2022-11-02-fomc,fomc,2022-11-02,14:00,America/New_York,FED_FOMC
2022-11-04-employment,employment,2022-11-04,08:30,America/New_York,BLS_2022
2022-11-10-cpi,cpi,2022-11-10,08:30,America/New_York,BLS_2022
2022-12-02-employment,employment,2022-12-02,08:30,America/New_York,BLS_2022
2022-12-13-cpi,cpi,2022-12-13,08:30,America/New_York,BLS_2022
2022-12-14-fomc,fomc,2022-12-14,14:00,America/New_York,FED_FOMC
